problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M003_J004; manne; 3; 4; True; 29.000000000000004; 29.000000000000004; 0.0; 48; 31; 21; 70; 132; integer optimal solution; 0.033744096755981445; False;  
ID000_M003_J004; minla_fav; 3; 4; True; 29.0; 29.0; 0.0; 212; 67; 21; 41; 592; integer optimal solution; 0.0032711029052734375; False;  
ID000_M003_J004; manne; 3; 4; False; nan; 23.0; nan; 48; 31; 22; 21; 132; optimal; 0.00035190582275390625; False;  
ID000_M003_J004; minla_fav; 3; 4; False; nan; 24.492644002992275; nan; 212; 67; 24; 42; 592; optimal; 0.0006079673767089844; False;  
ID000_M003_J005; manne; 3; 5; True; 33.0; 33.0; 0.0; 75; 46; 31; 406; 210; integer optimal solution; 0.008402824401855469; False;  
ID000_M003_J005; minla_fav; 3; 5; True; 33.0; 33.0; 0.0; 400; 136; 26; 374; 1145; integer optimal solution; 0.024505138397216797; False;  
ID000_M003_J005; manne; 3; 5; False; nan; 23.0; nan; 75; 46; 33; 32; 210; optimal; 0.0003829002380371094; False;  
ID000_M003_J005; minla_fav; 3; 5; False; nan; 28.5586131840796; nan; 400; 136; 38; 89; 1145; optimal; 0.001068115234375; False;  
ID000_M015_J015; manne; 15; 15; True; 1143.5; 1214.0000000000018; 0.05807248764414819; 3375; 1801; 1009; 160082599; 9900; time limit exceeded; 3600.0083820819855; True;  
ID000_M015_J015; minla_fav; 15; 15; True; 1210.0; 1210.0; 0.0; 51060; 22276; 1021; 20090554; 152295; integer optimal solution; 1618.1741030216217; False;  
ID000_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 9900; optimal; 0.019337177276611328; False;  
ID000_M015_J015; minla_fav; 15; 15; False; nan; 982.4701986754967; nan; 51060; 22276; 1200; 3918; 152295; optimal; 0.20064496994018555; False;  
ID001_M015_J015; manne; 15; 15; True; 1176.9032256283567; 1177.0; 8.222121634942194e-05; 3375; 1801; 987; 190057746; 9900; integer optimal, tolerance; 2900.7024190425873; False;  
ID001_M015_J015; minla_fav; 15; 15; True; 1054.8995727251086; 1223.0; 0.13744924552320334; 51060; 22276; 1063; 36925166; 152295; time limit exceeded; 3600.023208141327; True;  
ID001_M015_J015; manne; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 9900; optimal; 0.019165992736816406; False;  
ID001_M015_J015; minla_fav; 15; 15; False; nan; 945.6247810339936; nan; 51060; 22276; 1283; 4754; 152295; optimal; 0.2655751705169678; False;  
ID002_M015_J015; manne; 15; 15; True; 1121.9999999999995; 1205.0; 0.0688796680497872; 3375; 1801; 1004; 190181208; 9900; time limit exceeded; 3600.007066011429; True;  
ID002_M015_J015; minla_fav; 15; 15; True; 1033.0; 1254.9999999999995; 0.17689243027887006; 51060; 22276; 1014; 41813451; 152295; time limit exceeded; 3600.0166120529175; True;  
ID002_M015_J015; manne; 15; 15; False; nan; 921.0; nan; 3375; 1801; 1146; 1145; 9900; optimal; 0.02204298973083496; False;  
ID002_M015_J015; minla_fav; 15; 15; False; nan; 947.8456375838925; nan; 51060; 22276; 1240; 3621; 152295; optimal; 0.2051701545715332; False;  
ID003_M015_J015; manne; 15; 15; True; 1171.8907704900619; 1172.0; 9.31992405615379e-05; 3375; 1801; 1065; 176548919; 9900; integer optimal, tolerance; 2797.143126010895; False;  
ID003_M015_J015; minla_fav; 15; 15; True; 1028.742591236032; 1192.0; 0.1369609133925791; 51060; 22276; 1127; 45455381; 152295; time limit exceeded; 3600.0153710842133; True;  
ID003_M015_J015; manne; 15; 15; False; nan; 911.0; nan; 3375; 1801; 1053; 1052; 9900; optimal; 0.020773887634277344; False;  
ID003_M015_J015; minla_fav; 15; 15; False; nan; 911.0; nan; 51060; 22276; 1235; 3524; 152295; optimal; 0.1717209815979004; False;  
ID004_M015_J015; manne; 15; 15; True; 1102.9999999999989; 1262.0; 0.12599049128366763; 3375; 1801; 1105; 171867623; 9900; time limit exceeded; 3600.0066680908203; True;  
ID004_M015_J015; minla_fav; 15; 15; True; 1070.9402968073423; 1279.0; 0.16267373197235452; 51060; 22276; 1082; 24671486; 152295; time limit exceeded; 3603.2478330135345; True;  
ID004_M015_J015; manne; 15; 15; False; nan; 940.0; nan; 3375; 1801; 1057; 1056; 9900; optimal; 0.023006916046142578; False;  
ID004_M015_J015; minla_fav; 15; 15; False; nan; 975.6942503668226; nan; 51060; 22276; 1214; 4052; 152295; optimal; 0.18529486656188965; False;  
ID005_M015_J015; manne; 15; 15; True; 1161.9230740073456; 1162.0000000000014; 6.620137061599071e-05; 3375; 1801; 1010; 104764931; 9900; integer optimal, tolerance; 1689.0917580127716; False;  
ID005_M015_J015; minla_fav; 15; 15; True; 1018.8836027709003; 1199.0; 0.15022218284327327; 51060; 22276; 1045; 39221224; 152295; time limit exceeded; 3600.021295070648; True;  
ID005_M015_J015; manne; 15; 15; False; nan; 849.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02078700065612793; False;  
ID005_M015_J015; minla_fav; 15; 15; False; nan; 915.0571519412489; nan; 51060; 22276; 1226; 4603; 152295; optimal; 0.22771596908569336; False;  
ID006_M015_J015; manne; 15; 15; True; 1242.8904109589032; 1243.0; 8.816495663458405e-05; 3375; 1801; 975; 35440840; 9900; integer optimal, tolerance; 559.7867150306702; False;  
ID006_M015_J015; minla_fav; 15; 15; True; 1064.624617646953; 1274.0; 0.16434488410755924; 51060; 22276; 998; 43144541; 152295; time limit exceeded; 3600.01678109169; True;  
ID006_M015_J015; manne; 15; 15; False; nan; 935.0; nan; 3375; 1801; 1134; 1133; 9900; optimal; 0.021829843521118164; False;  
ID006_M015_J015; minla_fav; 15; 15; False; nan; 979.4327546182905; nan; 51060; 22276; 1190; 3880; 152295; optimal; 0.17091989517211914; False;  
ID007_M015_J015; manne; 15; 15; True; 1180.9999998678977; 1181.0000000000023; 1.1185822199818567e-10; 3375; 1801; 1041; 4004919; 9900; integer optimal, tolerance; 88.15895891189575; False;  
ID007_M015_J015; minla_fav; 15; 15; True; 1181.0; 1181.0; 0.0; 51060; 22276; 1038; 6077448; 152295; integer optimal solution; 564.6589651107788; False;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.017182111740112305; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 963.0; nan; 51060; 22276; 1191; 3829; 152295; optimal; 0.1824359893798828; False;  
ID008_M015_J015; manne; 15; 15; True; 1181.3442622950818; 1317.0; 0.10300359734617155; 3375; 1801; 987; 221665897; 9900; time limit exceeded; 3600.007724046707; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 1126.7109320692334; 1348.0; 0.1641610296222182; 51060; 22276; 978; 23837176; 152295; time limit exceeded; 3602.635307073593; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.022268056869506836; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1012.3756895899515; nan; 51060; 22276; 1218; 4196; 152295; optimal; 0.1992969512939453; False;  
ID009_M015_J015; manne; 15; 15; True; 1086.0; 1225.0; 0.11346938775509277; 3375; 1801; 1060; 123424869; 9900; time limit exceeded; 3600.0070250034332; True;  
